ID	COMPOUND_ID	CREATED_ON	DATATYPE_ID	DATATYPE	TEXT
8	15561	2007-04-24	12789	General	Name encompasses both (1R,2S) and (1S,2R) isomers.
12	15576	2003-12-23	264	CompoundName	8,25-dien name wrong in IUBMB list (now corrected).
14	15635	2004-01-09	15635	General	The natural product is the 6S stereoisomer.
15	15636	2004-01-09	15636	General	The naturally occurring compound is the 6R stereoisomer. 
16	15638	2004-01-09	15638	General	The naturally occurring compound is the tetrahydrofolate 6R stereoisomer.
17	15639	2004-01-09	15639	General	The naturally occuring compound is the 6S stereoisomer.
18	15640	2004-01-09	15640	General	The naturally occurring compound is the 6S stereoisomer.
19	15641	2022-02-08	15641	General	The naturally occurring compound is the 6S stereoisomer (CHEBI:136009).
20	15637	2004-01-09	15637	General	The naturally occurring compound is the 6S stereoisomer
22	17959	2004-02-06	17959	General	The native oxidized luciferin from the coelenterate Renilla has the benzyl group replaced by an unidentified group of approximately 200 Da.
24	18360	2007-06-14	18360	General	Confusion exists in the literature between lupinine and lupanine. Thus lupinine is a bicyclic quinolizidine alkaloid whereas lupanine has a methylene-bridged dipyridodiazocine structure containing two quinolizidine systems; the current compound is an example. Unfortunately the two terms are sometimes used synonomously.
25	18328	2007-06-14	18328	General	Confusion exists in the literature between lupinine and lupanine. Thus lupinine is a bicyclic quinolizidine alkaloid whereas lupanine has a methylene-bridged dipyridodiazocine structure containing two quinolizidine systems; the current compound is an example. Unfortunately the two terms are sometimes used synonomously.
26	28012	2007-06-14	6573	General	Confusion exists in the literature between lupinine and lupanine. Thus lupinine (this entry) is a bicyclic quinolizidine alkaloid whereas lupanine has a methylene-bridged dipyridodiazocine structure containing two quinolizidine systems (see, e.g., entry for 13-hydroxylupanine). Unfortunately the two terms are sometimes used synonomously.
30	16886	2022-02-17	16886	General	The naturally occurring compound is the 2E,4Z stereoisomer (CHEBI:189698).
34	29094	2004-02-26	11761	General	Non-stereospecific version of homoisocitric acid 
35	15685	2004-03-09	15685	General	(R) stereochemistry in IUBMB/IntEnz entry for EC 2.3.1.117 should read (S).
39	29130	2004-03-18	35757	CompoundName	IUPAC systematic name.
48	11656	2004-03-24	11656	General	The naturally occurring compound (product from EC 2.5.1.64) is the (1S,6R) stereoisomer
49	18184	2004-03-30	18184	General	This compound was named incorrectly as 3,5,3'-triiodophenylpyruvate in the IUBMB Enzyme Nomenclature.
58	17052	2004-04-30	17052	General	The numbering system used for the 3-phosphoshikimate is that of the IUPAC/IUBMB recommendations on cyclitols, sections I-8 and I-9. The use of the term '5-phosphoshikimate' for this compound is based on an earlier system of numbering.
