ID	STATUS	CHEBI_ACCESSION	SOURCE	PARENT_ID	NAME	DEFINITION	MODIFIED_ON	CREATED_BY	STAR
1	65354	Abacopteris penangiana	IPNI:17367310-1	rhizome	BTO:0001181	null	null	PubMed Id	16499328	null
2	65355	Abacopteris penangiana	IPNI:17367310-1	rhizome	BTO:0001181	null	null	PubMed Id	16499328	null
3	65356	Abacopteris penangiana	IPNI:17367310-1	rhizome	BTO:0001181	null	null	PubMed Id	16499328	null
4	65357	Abacopteris penangiana	IPNI:17367310-1	rhizome	BTO:0001181	null	null	PubMed Id	16499328	null
5	65358	Erythrina abyssinica	NCBI:txid1237573	stem	BTO:0001300	null	null	PubMed Id	18484536	Previous component: stem bark;
6	65359	Erythrina abyssinica	NCBI:txid1237573	stem	BTO:0001300	null	null	PubMed Id	18484536	Previous component: stem bark;
7	65360	Erythrina abyssinica	NCBI:txid1237573	stem	BTO:0001300	null	null	PubMed Id	18484536	Previous component: stem bark;
8	65361	Chrysanthemum morifolium	NCBI:txid41568	inflorescence	BTO:0000628	null	null	PubMed Id	8158164	null
9	65362	Cordyceps sinensis	NCBI:txid72228	null	null	null	null	PubMed Id	15863936	null
10	65363	Chrysanthemum boreale	NCBI:txid344871	leaf	BTO:0000713	null	null	PubMed Id	18983901	null
11	65363	Chrysanthemum boreale	NCBI:txid344871	stem	BTO:0001300	null	null	PubMed Id	18983901	null
12	65364	Microtropis japonica	NCBI:txid1089418	stem	BTO:0001300	null	null	PubMed Id	18471021	null
13	65365	Inula japonica	NCBI:txid453958	null	null	null	null	DOI	10.1016/S0031-9422(00)90813-6	null
14	65365	Microtropis japonica	NCBI:txid1089418	flower	BTO:0000469	null	null	PubMed Id	14969344	null
15	65366	Hyrtios erectus	NCBI:txid279628	null	null	null	null	PubMed Id	8778242	null
16	65367	Delphinium denudatum	IPNI:710557-1	root	BTO:0001188	null	null	PubMed Id	9170290	null
17	65368	Amomum aculeatum	NCBI:txid1076729	leaf	BTO:0000713	null	null	PubMed Id	18260638	null
18	65369	Uvaria acuminata	NCBI:txid672960	root	BTO:0001188	null	null	PubMed Id	14709883	null
19	65370	Luffa acutangula	NCBI:txid56866	whole plant	BTO:0001461	null	null	PubMed Id	1863290	null
20	65370	Viola hondoensis	NCBI:txid316467	whole plant	BTO:0001461	null	null	PubMed Id	15356999	null
21	65371	Streptomyces sp.	NCBI:txid1931	null	null	NA 148	null	PubMed Id	10344578	null
22	65372	Streptomyces sp.	NCBI:txid1931	null	null	NA 148	null	PubMed Id	10344578	null
23	65373	Agelas nakamurai	NCBI:txid279581	null	null	null	null	PubMed Id	14677933	null
24	65374	Aglaia elliptifolia	IPNI:577069-1	stem	BTO:0001300	null	null	DOI	10.1016/0014-2999(92)90156-X	null
25	65374	Aglaia odorata	NCBI:txid210347	leaf	BTO:0000713	null	null	DOI	10.1016/S0031-9422(00)94986-0	null
26	65375	Agrobacterium sp.	NCBI:txid361	null	null	null	null	PubMed Id	10656570	Marine Agrobacterium
27	65376	Ainsliaea macrocephala	NCBI:txid418270	whole plant	BTO:0001461	null	null	PubMed Id	18484734	null
28	65377	Aiphanes aculeata	NCBI:txid131249	seed	BTO:0001226	null	null	PubMed Id	11440571	null
29	65378	Albizia julibrissin	NCBI:txid3813	stem	BTO:0001300	null	null	PubMed Id	15577257	Previous component: stem bark;
30	65379	Albizia chinensis	IPNI:473204-1	stem	BTO:0001300	null	null	PubMed Id	19256478	Previous component: stem bark;
31	65380	Albizia chinensis	IPNI:473204-1	stem	BTO:0001300	null	null	PubMed Id	19256478	Previous component: stem bark;
32	65381	Albizia chinensis	IPNI:473204-1	stem	BTO:0001300	null	null	PubMed Id	19256478	Previous component: stem bark;
33	65382	Deep water sponge	null	null	null	null	null	PubMed Id	18512987	null
34	65383	Deep water sponge	null	null	null	null	null	PubMed Id	18512987	null
35	65384	Deep water sponge	null	null	null	null	null	PubMed Id	18512987	null
36	65385	Deep water sponge	null	null	null	null	null	PubMed Id	18512987	null
37	65386	Alisma orientale	NCBI:txid262913	rhizome	BTO:0001181	null	null	PubMed Id	17541191	null
38	65387	Allanblackia monticola	IPNI:427045-1	stem	BTO:0001300	null	null	PubMed Id	16394561	Previous component: stem bark;
39	65388	Aloe barbadensis	IPNI:529240-1	leaf	BTO:0000713	null	null	PubMed Id	8778246	null
41	65390	Alvaradoa haitiensis	IPNI:10503-2	leaf	BTO:0000713	null	null	PubMed Id	17552563	null
42	65391	Alvaradoa haitiensis	IPNI:10503-2	leaf	BTO:0000713	null	null	PubMed Id	17552563	null
43	65392	Alvaradoa haitiensis	IPNI:10503-2	leaf	BTO:0000713	null	null	PubMed Id	17552563	null
44	65393	Alvaradoa haitiensis	IPNI:10503-2	leaf	BTO:0000713	null	null	PubMed Id	17552563	null
45	65394	Alvaradoa haitiensis	IPNI:10503-2	leaf	BTO:0000713	null	null	PubMed Id	17552563	null
46	65395	Alvaradoa haitiensis	IPNI:10503-2	leaf	BTO:0000713	null	null	PubMed Id	17552563	null
47	65396	Alvaradoa haitiensis	IPNI:10503-2	leaf	BTO:0000713	null	null	PubMed Id	17552563	null
48	65397	Alvaradoa haitiensis	IPNI:10503-2	leaf	BTO:0000713	null	null	PubMed Id	17552563	null
49	65398	Alvaradoa haitiensis	IPNI:10503-2	leaf	BTO:0000713	null	null	PubMed Id	17552563	null
50	65399	Alvaradoa haitiensis	IPNI:10503-2	leaf	BTO:0000713	null	null	PubMed Id	17552563	null
51	2622	Swertia chirata	IPNI:60447539-2	null	null	null	null	DOI	10.1016/S0040-4039(00)72792-4	null
52	2622	Swertia mileensis	NCBI:txid266086	null	null	null	null	PubMed Id	8720386	null
53	2622	Swertia japonica	NCBI:txid137129	null	null	null	null	DOI	10.1055/s-2008-1074888	null
54	65400	Fischerella	NCBI:txid1190	null	null	null	null	PubMed Id	17315959	MeOH-Water extract (7:3) of Cyanobacterium culture
55	65401	Fischerella	NCBI:txid1190	null	null	null	null	PubMed Id	17315959	MeOH-Water extract (7:3) of Cyanobacterium culture
56	65402	Amburana cearensis	NCBI:txid149628	trunk bark	BTO:0001494	null	null	DOI	10.1016/S0031-9422(98)00497-X	null
57	2631	Taxus baccata	NCBI:txid25629	null	null	null	null	Article	INDIAN J CHEM,35B,283	null
58	2631	Lanaria lanata	NCBI:txid59087	null	null	null	null	DOI	10.1021/np50075a007	null
59	2631	Juniperus occidentalis	NCBI:txid114265	null	null	null	null	PubMed Id	12372862	null
60	2631	Cupressus sempervirens	NCBI:txid13469	null	null	null	null	DOI	10.1021/np50051a032	null
61	2631	Selaginella pulvinata	NCBI:txid672198	null	null	null	null	PubMed Id	11256492	null
62	2631	Selanginella moellendorfii	NCBI:txid88036	null	null	null	null	PubMed Id	11256492	null
63	2631	Thuja orientalis	NCBI:txid58046	null	null	null	null	PubMed Id	19280159	null
64	2631	Biophytum sensitivum	IPNI:371965-1	null	null	null	null	PubMed Id	18298378	null
65	2631	Selaginella braunii	ITIS:17074	null	null	null	null	PubMed Id	11256492	null
66	2631	Ginkgo biloba	NCBI:txid3311	null	null	null	null	PubMed Id	3212094	null
67	2631	Selaginella stauntoniana	NCBI:txid137175	null	null	null	null	PubMed Id	11256492	null
68	2631	Selaginella tamariscina	NCBI:txid137178	null	null	null	null	PubMed Id	11256492	null
